state,district,pincode,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,total_enrollment,total_demographic,total_biometric,total_demo,total_bio,child_ratio,teen_ratio,adult_ratio,bio_demo_ratio
Himachal Pradesh,Mandi,175040,13,0,0,5,38,312,693,13,43,1005,43,1005,0.9285714285714286,0.0,0.0,22.84090909090909
Himachal Pradesh,Mandi,175042,4,0,0,3,9,90,155,4,12,245,12,245,0.8,0.0,0.0,18.846153846153847
Himachal Pradesh,Mandi,175045,1,0,0,0,6,0,4,1,6,4,6,4,0.5,0.0,0.0,0.5714285714285714
Himachal Pradesh,Mandi,175046,9,0,0,8,46,280,463,9,54,743,54,743,0.9,0.0,0.0,13.50909090909091
Himachal Pradesh,Mandi,175047,11,1,0,11,35,306,516,12,46,822,46,822,0.8461538461538461,0.07692307692307693,0.0,17.48936170212766
Himachal Pradesh,Mandi,175048,17,0,0,5,15,146,372,17,20,518,20,518,0.9444444444444444,0.0,0.0,24.666666666666668
Himachal Pradesh,Mandi,175049,14,0,0,7,40,310,629,14,47,939,47,939,0.9333333333333333,0.0,0.0,19.5625
Himachal Pradesh,Mandi,175050,7,0,0,3,7,104,205,7,10,309,10,309,0.875,0.0,0.0,28.09090909090909
Himachal Pradesh,Mandi,175051,1,0,0,1,2,14,20,1,3,34,3,34,0.5,0.0,0.0,8.5
Himachal Pradesh,Mandi,175052,1,0,0,1,24,159,275,1,25,434,25,434,0.5,0.0,0.0,16.692307692307693
Himachal Pradesh,Mandi,175106,12,1,0,25,191,312,278,13,216,590,216,590,0.8571428571428571,0.07142857142857142,0.0,2.71889400921659
Himachal Pradesh,Mandi,175121,21,3,0,10,91,586,502,24,101,1088,101,1088,0.84,0.12,0.0,10.666666666666666
Himachal Pradesh,Mandi,175123,4,0,0,79,105,289,296,4,184,585,184,585,0.8,0.0,0.0,3.1621621621621623
Himachal Pradesh,Mandi,175124,32,0,0,29,213,738,943,32,242,1681,242,1681,0.9696969696969697,0.0,0.0,6.917695473251029
Himachal Pradesh,Mandi,175137,1,0,0,0,3,0,6,1,3,6,3,6,0.5,0.0,0.0,1.5
Himachal Pradesh,Mandi,176090,7,0,0,3,22,188,489,7,25,677,25,677,0.875,0.0,0.0,26.03846153846154
Himachal Pradesh,Mandi,176120,30,2,0,18,142,682,885,32,160,1567,160,1567,0.9090909090909091,0.06060606060606061,0.0,9.732919254658386
Himachal Pradesh,Mandi,176121,26,1,0,9,124,382,511,27,133,893,133,893,0.9285714285714286,0.03571428571428571,0.0,6.664179104477612
Himachal Pradesh,Mandi,176122,6,0,0,0,12,223,471,6,12,694,12,694,0.8571428571428571,0.0,0.0,53.38461538461539
Himachal Pradesh,Mandi,176123,4,0,0,1,10,40,45,4,11,85,11,85,0.8,0.0,0.0,7.083333333333333
Himachal Pradesh,Mandi,176126,11,0,0,9,78,270,304,11,87,574,87,574,0.9166666666666666,0.0,0.0,6.5227272727272725
Himachal Pradesh,Shimla,171001,9,1,1,16,178,317,439,11,194,756,194,756,0.75,0.08333333333333333,0.08333333333333333,3.876923076923077
Himachal Pradesh,Shimla,171002,8,2,0,0,8,87,155,10,8,242,8,242,0.7272727272727273,0.18181818181818182,0.0,26.88888888888889
Himachal Pradesh,Shimla,171003,2,0,0,1,22,135,242,2,23,377,23,377,0.6666666666666666,0.0,0.0,15.708333333333334
Himachal Pradesh,Shimla,171004,1,0,0,1,12,96,156,1,13,252,13,252,0.5,0.0,0.0,18.0
Himachal Pradesh,Shimla,171005,3,1,0,4,20,99,222,4,24,321,24,321,0.6,0.2,0.0,12.84
Himachal Pradesh,Shimla,171006,5,0,0,5,74,264,416,5,79,680,79,680,0.8333333333333334,0.0,0.0,8.5
Himachal Pradesh,Shimla,171007,7,1,0,11,52,210,391,8,63,601,63,601,0.7777777777777778,0.1111111111111111,0.0,9.390625
Himachal Pradesh,Shimla,171009,11,2,0,18,198,406,729,13,216,1135,216,1135,0.7857142857142857,0.14285714285714285,0.0,5.2304147465437785
Himachal Pradesh,Shimla,171011,4,0,0,6,64,306,582,4,70,888,70,888,0.8,0.0,0.0,12.507042253521126
Himachal Pradesh,Shimla,171012,11,1,0,9,51,167,312,12,60,479,60,479,0.8461538461538461,0.07692307692307693,0.0,7.852459016393443
Himachal Pradesh,Shimla,171018,4,0,0,3,16,111,146,4,19,257,19,257,0.8,0.0,0.0,12.85
Himachal Pradesh,Shimla,171019,4,0,0,7,21,111,127,4,28,238,28,238,0.8,0.0,0.0,8.206896551724139
Himachal Pradesh,Shimla,171103,6,1,0,3,18,202,280,7,21,482,21,482,0.75,0.125,0.0,21.90909090909091
Himachal Pradesh,Shimla,171201,3,1,2,4,41,225,343,6,45,568,45,568,0.42857142857142855,0.14285714285714285,0.2857142857142857,12.347826086956522
Himachal Pradesh,Shimla,171202,11,2,0,23,275,267,536,13,298,803,298,803,0.7857142857142857,0.14285714285714285,0.0,2.68561872909699
Himachal Pradesh,Shimla,171203,7,0,0,2,63,144,197,7,65,341,65,341,0.875,0.0,0.0,5.166666666666667
Himachal Pradesh,Shimla,171204,2,0,0,4,22,27,40,2,26,67,26,67,0.6666666666666666,0.0,0.0,2.4814814814814814
Himachal Pradesh,Shimla,171205,8,5,0,15,122,163,431,13,137,594,137,594,0.5714285714285714,0.35714285714285715,0.0,4.304347826086956
Himachal Pradesh,Shimla,171206,7,3,0,6,49,207,341,10,55,548,55,548,0.6363636363636364,0.2727272727272727,0.0,9.785714285714286
Himachal Pradesh,Shimla,171207,13,5,0,20,437,547,748,18,457,1295,457,1295,0.6842105263157895,0.2631578947368421,0.0,2.8275109170305677
Himachal Pradesh,Shimla,171208,15,4,0,22,161,363,714,19,183,1077,183,1077,0.75,0.2,0.0,5.853260869565218
Himachal Pradesh,Shimla,171209,13,1,2,10,52,188,278,16,62,466,62,466,0.7647058823529411,0.058823529411764705,0.11764705882352941,7.396825396825397
Himachal Pradesh,Shimla,171210,85,23,0,20,183,1019,1949,108,203,2968,203,2968,0.7798165137614679,0.21100917431192662,0.0,14.549019607843137
Himachal Pradesh,Shimla,171211,12,5,0,15,123,406,818,17,138,1224,138,1224,0.6666666666666666,0.2777777777777778,0.0,8.805755395683454
Himachal Pradesh,Shimla,171212,3,0,0,4,26,93,137,3,30,230,30,230,0.75,0.0,0.0,7.419354838709677
Himachal Pradesh,Shimla,171213,10,2,0,6,41,159,237,12,47,396,47,396,0.7692307692307693,0.15384615384615385,0.0,8.25
Himachal Pradesh,Shimla,171214,4,1,0,4,160,186,235,5,164,421,164,421,0.6666666666666666,0.16666666666666666,0.0,2.5515151515151517
Himachal Pradesh,Shimla,171215,1,0,0,0,3,1,8,1,3,9,3,9,0.5,0.0,0.0,2.25
Himachal Pradesh,Shimla,171216,7,0,0,6,16,105,143,7,22,248,22,248,0.875,0.0,0.0,10.782608695652174
Himachal Pradesh,Shimla,171217,12,0,0,7,47,433,492,12,54,925,54,925,0.9230769230769231,0.0,0.0,16.818181818181817
Himachal Pradesh,Shimla,171218,2,0,0,0,19,53,36,2,19,89,19,89,0.6666666666666666,0.0,0.0,4.45
Himachal Pradesh,Shimla,171219,2,0,0,3,10,48,87,2,13,135,13,135,0.6666666666666666,0.0,0.0,9.642857142857142
Himachal Pradesh,Shimla,171220,3,1,2,28,199,247,382,6,227,629,227,629,0.42857142857142855,0.14285714285714285,0.2857142857142857,2.758771929824561
Himachal Pradesh,Shimla,171221,5,3,0,0,7,101,166,8,7,267,7,267,0.5555555555555556,0.3333333333333333,0.0,33.375
Himachal Pradesh,Shimla,171222,2,0,0,0,13,20,39,2,13,59,13,59,0.6666666666666666,0.0,0.0,4.214285714285714
Himachal Pradesh,Shimla,171223,5,0,0,3,13,56,66,5,16,122,16,122,0.8333333333333334,0.0,0.0,7.176470588235294
Himachal Pradesh,Shimla,171224,2,1,0,1,17,66,79,3,18,145,18,145,0.5,0.25,0.0,7.631578947368421
Himachal Pradesh,Shimla,171225,2,1,0,2,21,102,186,3,23,288,23,288,0.5,0.25,0.0,12.0
Himachal Pradesh,Shimla,171226,5,1,0,4,28,175,314,6,32,489,32,489,0.7142857142857143,0.14285714285714285,0.0,14.818181818181818
Himachal Pradesh,Shimla,171301,2,0,0,0,15,98,128,2,15,226,15,226,0.6666666666666666,0.0,0.0,14.125
Himachal Pradesh,Shimla,172001,10,2,0,24,225,317,460,12,249,777,249,777,0.7692307692307693,0.15384615384615385,0.0,3.108
Himachal Pradesh,Shimla,172021,6,1,0,3,19,39,46,7,22,85,22,85,0.75,0.125,0.0,3.6956521739130435
Himachal Pradesh,Shimla,172022,8,1,0,5,33,227,265,9,38,492,38,492,0.8,0.1,0.0,12.615384615384615
Himachal Pradesh,Shimla,172024,3,0,0,1,5,68,72,3,6,140,6,140,0.75,0.0,0.0,20.0
Himachal Pradesh,Shimla,172027,1,1,0,0,16,10,11,2,16,21,16,21,0.3333333333333333,0.3333333333333333,0.0,1.2352941176470589
Himachal Pradesh,Shimla,172028,4,0,0,0,6,1,5,4,6,6,6,6,0.8,0.0,0.0,0.8571428571428571
Himachal Pradesh,Shimla,172029,2,2,0,2,20,77,90,4,22,167,22,167,0.4,0.4,0.0,7.260869565217392
Himachal Pradesh,Shimla,172030,2,0,0,1,13,77,89,2,14,166,14,166,0.6666666666666666,0.0,0.0,11.066666666666666
Himachal Pradesh,Shimla,172031,1,0,0,2,13,13,20,1,15,33,15,33,0.5,0.0,0.0,2.0625
Himachal Pradesh,Shimla,172101,4,0,0,22,104,130,186,4,126,316,126,316,0.8,0.0,0.0,2.4881889763779528
Himachal Pradesh,Shimla,172102,5,1,0,6,35,102,123,6,41,225,41,225,0.7142857142857143,0.14285714285714285,0.0,5.357142857142857
Himachal Pradesh,Shimla,172201,4,1,0,7,25,120,144,5,32,264,32,264,0.6666666666666666,0.16666666666666666,0.0,8.0
Himachal Pradesh,Shimla,173217,1,0,0,0,27,95,140,1,27,235,27,235,0.5,0.0,0.0,8.392857142857142
Himachal Pradesh,Sirmaur,171226,14,2,0,14,17,90,167,16,31,257,31,257,0.8235294117647058,0.11764705882352941,0.0,8.03125
Himachal Pradesh,Sirmaur,173001,56,2,2,168,1355,1618,2072,60,1523,3690,1523,3690,0.9180327868852459,0.03278688524590164,0.03278688524590164,2.421259842519685
Himachal Pradesh,Sirmaur,173020,5,2,0,2,1,45,26,7,3,71,3,71,0.625,0.25,0.0,17.75
Himachal Pradesh,Sirmaur,173021,16,1,0,8,51,368,442,17,59,810,59,810,0.8888888888888888,0.05555555555555555,0.0,13.5
Himachal Pradesh,Sirmaur,173022,47,2,0,110,455,596,841,49,565,1437,565,1437,0.94,0.04,0.0,2.53886925795053
Himachal Pradesh,Sirmaur,173023,28,2,1,34,239,896,995,31,273,1891,273,1891,0.875,0.0625,0.03125,6.901459854014599
Himachal Pradesh,Sirmaur,173024,14,1,0,13,97,566,798,15,110,1364,110,1364,0.875,0.0625,0.0,12.288288288288289
Himachal Pradesh,Sirmaur,173025,95,3,0,137,1154,1970,2353,98,1291,4323,1291,4323,0.9595959595959596,0.030303030303030304,0.0,3.3459752321981426
Himachal Pradesh,Sirmaur,173026,1,0,0,0,8,46,50,1,8,96,8,96,0.5,0.0,0.0,10.666666666666666
Himachal Pradesh,Sirmaur,173027,61,10,0,277,898,1463,1655,71,1175,3118,1175,3118,0.8472222222222222,0.1388888888888889,0.0,2.651360544217687
Himachal Pradesh,Sirmaur,173029,65,3,0,76,594,1018,1259,68,670,2277,670,2277,0.9420289855072463,0.043478260869565216,0.0,3.3934426229508197
Himachal Pradesh,Sirmaur,173030,13,1,0,3,60,276,490,14,63,766,63,766,0.8666666666666667,0.06666666666666667,0.0,11.96875
Himachal Pradesh,Sirmaur,173101,10,0,1,62,278,470,612,11,340,1082,340,1082,0.8333333333333334,0.0,0.08333333333333333,3.1730205278592374
Himachal Pradesh,Sirmaur,173104,15,1,0,26,136,385,633,16,162,1018,162,1018,0.8823529411764706,0.058823529411764705,0.0,6.245398773006135
Himachal Pradesh,Sirmaur,173223,2,2,0,30,136,220,502,4,166,722,166,722,0.4,0.4,0.0,4.323353293413174
Himachal Pradesh,Sirmaur,173229,3,1,0,1,6,224,232,4,7,456,7,456,0.6,0.2,0.0,57.0
Himachal Pradesh,Solan,171102,18,1,1,11,70,568,989,20,81,1557,81,1557,0.8571428571428571,0.047619047619047616,0.047619047619047616,18.98780487804878
Himachal Pradesh,Solan,173204,1,0,0,1,5,29,23,1,6,52,6,52,0.5,0.0,0.0,7.428571428571429
Himachal Pradesh,Solan,173205,17,6,0,11,105,922,959,23,116,1881,116,1881,0.7083333333333334,0.25,0.0,16.076923076923077
Himachal Pradesh,Solan,173206,21,3,0,28,163,371,608,24,191,979,191,979,0.84,0.12,0.0,5.098958333333333
Himachal Pradesh,Solan,173207,7,1,0,24,107,236,603,8,131,839,131,839,0.7777777777777778,0.1111111111111111,0.0,6.356060606060606
Himachal Pradesh,Solan,173208,10,1,0,6,37,232,426,11,43,658,43,658,0.8333333333333334,0.08333333333333333,0.0,14.954545454545455
Himachal Pradesh,Solan,173209,5,0,0,6,32,211,388,5,38,599,38,599,0.8333333333333334,0.0,0.0,15.35897435897436
Himachal Pradesh,Solan,173211,6,0,0,15,146,257,456,6,161,713,161,713,0.8571428571428571,0.0,0.0,4.401234567901234
Himachal Pradesh,Solan,173212,18,3,0,6,86,390,719,21,92,1109,92,1109,0.8181818181818182,0.13636363636363635,0.0,11.924731182795698
Himachal Pradesh,Solan,173213,3,0,0,2,21,87,264,3,23,351,23,351,0.75,0.0,0.0,14.625
Himachal Pradesh,Solan,173214,2,0,0,1,2,37,76,2,3,113,3,113,0.6666666666666666,0.0,0.0,28.25
Himachal Pradesh,Solan,173215,12,0,0,0,4,183,567,12,4,750,4,750,0.9230769230769231,0.0,0.0,150.0
Himachal Pradesh,Solan,173217,4,1,0,3,16,103,182,5,19,285,19,285,0.6666666666666666,0.16666666666666666,0.0,14.25
Himachal Pradesh,Solan,173218,11,1,0,1,14,198,429,12,15,627,15,627,0.8461538461538461,0.07692307692307693,0.0,39.1875
Himachal Pradesh,Solan,173220,12,1,1,8,54,321,639,14,62,960,62,960,0.8,0.06666666666666667,0.06666666666666667,15.238095238095237
Himachal Pradesh,Solan,173221,12,0,0,5,30,209,409,12,35,618,35,618,0.9230769230769231,0.0,0.0,17.166666666666668
Himachal Pradesh,Solan,173222,2,0,0,1,6,22,17,2,7,39,7,39,0.6666666666666666,0.0,0.0,4.875
Himachal Pradesh,Solan,173223,2,0,0,0,9,48,78,2,9,126,9,126,0.6666666666666666,0.0,0.0,12.6
Himachal Pradesh,Solan,173225,5,0,0,1,5,57,92,5,6,149,6,149,0.8333333333333334,0.0,0.0,21.285714285714285
Himachal Pradesh,Solan,173229,10,3,0,5,38,199,301,13,43,500,43,500,0.7142857142857143,0.21428571428571427,0.0,11.363636363636363
Himachal Pradesh,Solan,173233,8,1,0,6,41,308,285,9,47,593,47,593,0.8,0.1,0.0,12.354166666666666
Himachal Pradesh,Solan,173234,2,0,0,0,1,97,298,2,1,395,1,395,0.6666666666666666,0.0,0.0,197.5
Himachal Pradesh,Solan,174101,75,13,0,78,470,2550,2907,88,548,5457,548,5457,0.8426966292134831,0.14606741573033707,0.0,9.939890710382514
Himachal Pradesh,Solan,174102,24,0,0,23,90,606,1100,24,113,1706,113,1706,0.96,0.0,0.0,14.964912280701755
Himachal Pradesh,Solan,174103,9,1,0,6,66,299,350,10,72,649,72,649,0.8181818181818182,0.09090909090909091,0.0,8.89041095890411
Himachal Pradesh,Una,174301,23,1,0,13,154,648,981,24,167,1629,167,1629,0.92,0.04,0.0,9.696428571428571
Himachal Pradesh,Una,174302,6,0,0,4,25,69,113,6,29,182,29,182,0.8571428571428571,0.0,0.0,6.066666666666666
Himachal Pradesh,Una,174303,36,3,0,106,716,1115,1367,39,822,2482,822,2482,0.9,0.075,0.0,3.0157958687727824
Himachal Pradesh,Una,174306,12,0,0,19,216,335,523,12,235,858,235,858,0.9230769230769231,0.0,0.0,3.635593220338983
Himachal Pradesh,Una,174307,8,0,0,3,18,259,343,8,21,602,21,602,0.8888888888888888,0.0,0.0,27.363636363636363
Himachal Pradesh,Una,174308,9,0,0,1,22,165,270,9,23,435,23,435,0.9,0.0,0.0,18.125
Himachal Pradesh,Una,174314,10,0,0,5,12,127,229,10,17,356,17,356,0.9090909090909091,0.0,0.0,19.77777777777778
Himachal Pradesh,Una,174315,19,0,0,41,362,489,659,19,403,1148,403,1148,0.95,0.0,0.0,2.8415841584158414
Himachal Pradesh,Una,174316,4,0,0,3,12,62,100,4,15,162,15,162,0.8,0.0,0.0,10.125
Himachal Pradesh,Una,174317,4,0,0,1,22,55,71,4,23,126,23,126,0.8,0.0,0.0,5.25
Himachal Pradesh,Una,174319,5,0,0,4,23,84,124,5,27,208,27,208,0.8333333333333334,0.0,0.0,7.428571428571429
Himachal Pradesh,Una,174320,5,0,0,0,2,166,16,5,2,182,2,182,0.8333333333333334,0.0,0.0,60.666666666666664
Himachal Pradesh,Una,174321,13,1,0,1,30,496,558,14,31,1054,31,1054,0.8666666666666667,0.06666666666666667,0.0,32.9375
Himachal Pradesh,Una,174503,8,0,0,1,37,93,173,8,38,266,38,266,0.8888888888888888,0.0,0.0,6.82051282051282
Himachal Pradesh,Una,176601,18,0,0,14,146,487,639,18,160,1126,160,1126,0.9473684210526315,0.0,0.0,6.9937888198757765
Himachal Pradesh,Una,177031,7,0,0,1,6,177,148,7,7,325,7,325,0.875,0.0,0.0,40.625
Himachal Pradesh,Una,177038,1,0,0,0,1,0,1,1,1,1,1,1,0.5,0.0,0.0,0.5
Himachal Pradesh,Una,177039,2,0,0,1,15,128,65,2,16,193,16,193,0.6666666666666666,0.0,0.0,11.352941176470589
Himachal Pradesh,Una,177041,2,0,0,0,2,0,3,2,2,3,2,3,0.6666666666666666,0.0,0.0,1.0
Himachal Pradesh,Una,177109,2,0,0,4,10,80,119,2,14,199,14,199,0.6666666666666666,0.0,0.0,13.266666666666667
Himachal Pradesh,Una,177110,6,0,0,5,26,154,227,6,31,381,31,381,0.8571428571428571,0.0,0.0,11.90625
Himachal Pradesh,Una,177201,3,0,0,3,29,157,293,3,32,450,32,450,0.75,0.0,0.0,13.636363636363637
Himachal Pradesh,Una,177202,4,0,0,2,5,33,55,4,7,88,7,88,0.8,0.0,0.0,11.0
Himachal Pradesh,Una,177203,13,0,0,3,33,315,627,13,36,942,36,942,0.9285714285714286,0.0,0.0,25.45945945945946
Himachal Pradesh,Una,177204,11,0,0,6,41,344,579,11,47,923,47,923,0.9166666666666666,0.0,0.0,19.229166666666668
Himachal Pradesh,Una,177205,3,0,0,0,10,34,60,3,10,94,10,94,0.75,0.0,0.0,8.545454545454545
Himachal Pradesh,Una,177206,5,0,0,3,8,159,300,5,11,459,11,459,0.8333333333333334,0.0,0.0,38.25
Himachal Pradesh,Una,177207,14,1,0,13,48,210,334,15,61,544,61,544,0.875,0.0625,0.0,8.774193548387096
Himachal Pradesh,Una,177208,14,1,0,2,46,259,606,15,48,865,48,865,0.875,0.0625,0.0,17.653061224489797
Himachal Pradesh,Una,177209,3,0,0,7,52,163,281,3,59,444,59,444,0.75,0.0,0.0,7.4
Himachal Pradesh,Una,177210,11,0,0,3,49,249,469,11,52,718,52,718,0.9166666666666666,0.0,0.0,13.547169811320755
Himachal Pradesh,Una,177211,13,1,0,8,58,268,491,14,66,759,66,759,0.8666666666666667,0.06666666666666667,0.0,11.328358208955224
Himachal Pradesh,Una,177212,11,0,0,0,16,152,265,11,16,417,16,417,0.9166666666666666,0.0,0.0,24.529411764705884
Himachal Pradesh,Una,177213,9,1,0,2,47,190,355,10,49,545,49,545,0.8181818181818182,0.09090909090909091,0.0,10.9
Himachal Pradesh,Una,177219,1,0,0,1,9,56,76,1,10,132,10,132,0.5,0.0,0.0,12.0
Himachal Pradesh,Una,177220,13,1,0,10,72,289,546,14,82,835,82,835,0.8666666666666667,0.06666666666666667,0.0,10.060240963855422
Jammu & Kashmir,Baramula,193101,10,1,0,0,11,3,8,11,11,11,11,11,0.8333333333333334,0.08333333333333333,0.0,0.9166666666666666
Jammu & Kashmir,Jammu,180001,2,0,0,0,4,2,6,2,4,8,4,8,0.6666666666666666,0.0,0.0,1.6
Jammu & Kashmir,Jammu,180002,1,2,0,1,10,0,9,3,11,9,11,9,0.25,0.5,0.0,0.75
Jammu & Kashmir,Jammu,180003,2,0,0,0,1,0,2,2,1,2,1,2,0.6666666666666666,0.0,0.0,1.0
Jammu & Kashmir,Jammu,180004,1,1,0,0,2,0,2,2,2,2,2,2,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
Jammu & Kashmir,Jammu,180007,1,0,0,0,4,0,1,1,4,1,4,1,0.5,0.0,0.0,0.2
Jammu & Kashmir,Jammu,181102,2,0,0,0,1,0,4,2,1,4,1,4,0.6666666666666666,0.0,0.0,2.0
Jammu & Kashmir,Jammu,181121,1,0,0,0,1,0,1,1,1,1,1,1,0.5,0.0,0.0,0.5
Jammu & Kashmir,Jammu,181205,1,0,0,0,1,0,2,1,1,2,1,2,0.5,0.0,0.0,1.0
Jammu & Kashmir,Kathua,184101,1,0,0,0,9,3,0,1,9,3,9,3,0.5,0.0,0.0,0.3
Jammu and Kashmir,Anantnag,192101,182,31,0,291,2100,1549,1795,213,2391,3344,2391,3344,0.8504672897196262,0.14485981308411214,0.0,1.3979933110367893
Jammu and Kashmir,Anantnag,192102,7,2,0,4,9,125,140,9,13,265,13,265,0.7,0.2,0.0,18.928571428571427
Jammu and Kashmir,Anantnag,192124,83,18,0,332,2141,1388,1725,101,2473,3113,2473,3113,0.8137254901960784,0.17647058823529413,0.0,1.2582861762328212
Jammu and Kashmir,Anantnag,192125,18,3,0,78,468,635,476,21,546,1111,546,1111,0.8181818181818182,0.13636363636363635,0.0,2.0310786106032905
Jammu and Kashmir,Anantnag,192126,94,11,0,80,431,1073,929,105,511,2002,511,2002,0.8867924528301887,0.10377358490566038,0.0,3.91015625
Jammu and Kashmir,Anantnag,192129,22,6,0,12,99,328,515,28,111,843,111,843,0.7586206896551724,0.20689655172413793,0.0,7.526785714285714
Jammu and Kashmir,Anantnag,192201,158,18,0,258,1340,2099,2452,176,1598,4551,1598,4551,0.8926553672316384,0.1016949152542373,0.0,2.8461538461538463
Jammu and Kashmir,Anantnag,192202,154,16,0,322,1558,2177,2279,170,1880,4456,1880,4456,0.9005847953216374,0.0935672514619883,0.0,2.3689526847421583
Jammu and Kashmir,Anantnag,192210,25,2,0,36,202,362,241,27,238,603,238,603,0.8928571428571429,0.07142857142857142,0.0,2.5230125523012554
Jammu and Kashmir,Anantnag,192211,95,14,2,168,1000,1023,997,111,1168,2020,1168,2020,0.8482142857142857,0.125,0.017857142857142856,1.727972626176219
Jammu and Kashmir,Anantnag,192212,51,10,0,93,595,861,1088,61,688,1949,688,1949,0.8225806451612904,0.16129032258064516,0.0,2.8287373004354137
Jammu and Kashmir,Anantnag,192221,36,5,0,4,43,597,702,41,47,1299,47,1299,0.8571428571428571,0.11904761904761904,0.0,27.0625
Jammu and Kashmir,Anantnag,192231,27,9,0,14,315,442,998,36,329,1440,329,1440,0.7297297297297297,0.24324324324324326,0.0,4.363636363636363
Jammu and Kashmir,Anantnag,192232,1,0,0,0,3,3,3,1,3,6,3,6,0.5,0.0,0.0,1.5
Jammu and Kashmir,Anantnag,192401,29,3,0,43,352,382,732,32,395,1114,395,1114,0.8787878787878788,0.09090909090909091,0.0,2.813131313131313
Jammu and Kashmir,Badgam,190014,1,0,0,0,5,0,2,1,5,2,5,2,0.5,0.0,0.0,0.3333333333333333
Jammu and Kashmir,Badgam,190015,3,0,0,3,4,1,6,3,7,7,7,7,0.75,0.0,0.0,0.875
Jammu and Kashmir,Badgam,190018,8,0,0,0,11,2,5,8,11,7,11,7,0.8888888888888888,0.0,0.0,0.5833333333333334
Jammu and Kashmir,Badgam,191101,1,0,0,0,4,2,1,1,4,3,4,3,0.5,0.0,0.0,0.6
Jammu and Kashmir,Badgam,191111,152,28,0,149,2451,758,2645,180,2600,3403,2600,3403,0.8397790055248618,0.15469613259668508,0.0,1.3083429450211457
Jammu and Kashmir,Badgam,191112,25,12,0,25,169,212,469,37,194,681,194,681,0.6578947368421053,0.3157894736842105,0.0,3.4923076923076923
Jammu and Kashmir,Badgam,191113,84,14,0,26,275,586,1467,98,301,2053,301,2053,0.8484848484848485,0.1414141414141414,0.0,6.798013245033113
Jammu and Kashmir,Badgam,192121,20,1,0,4,53,35,160,21,57,195,57,195,0.9090909090909091,0.045454545454545456,0.0,3.3620689655172415
Jammu and Kashmir,Badgam,193401,23,1,0,5,75,108,220,24,80,328,80,328,0.92,0.04,0.0,4.049382716049383
Jammu and Kashmir,Badgam,193411,188,32,0,30,423,1196,1847,220,453,3043,453,3043,0.8506787330316742,0.14479638009049775,0.0,6.702643171806168
Jammu and Kashmir,Bandipore,193121,9,3,0,2,8,140,351,12,10,491,10,491,0.6923076923076923,0.23076923076923078,0.0,44.63636363636363
Jammu and Kashmir,Bandipore,193501,109,23,1,62,351,2029,2969,133,413,4998,413,4998,0.8134328358208955,0.17164179104477612,0.007462686567164179,12.072463768115941
Jammu and Kashmir,Bandipore,193502,252,72,4,826,4350,2828,3023,328,5176,5851,5176,5851,0.7659574468085106,0.2188449848024316,0.0121580547112462,1.1301912304423412
Jammu and Kashmir,Bandipore,193503,61,21,1,28,134,744,554,83,162,1298,162,1298,0.7261904761904762,0.25,0.011904761904761904,7.96319018404908
Jammu and Kashmir,Bandipore,193504,35,5,0,11,63,651,606,40,74,1257,74,1257,0.8536585365853658,0.12195121951219512,0.0,16.76
Jammu and Kashmir,Baramula,193101,166,51,3,98,683,1655,2774,220,781,4429,781,4429,0.751131221719457,0.23076923076923078,0.013574660633484163,5.663682864450128
Jammu and Kashmir,Baramula,193103,41,4,0,17,79,406,719,45,96,1125,96,1125,0.8913043478260869,0.08695652173913043,0.0,11.597938144329897
Jammu and Kashmir,Baramula,193121,121,27,0,353,2692,2061,3270,148,3045,5331,3045,5331,0.8120805369127517,0.18120805369127516,0.0,1.7501641497045306
Jammu and Kashmir,Baramula,193122,73,16,0,43,325,1412,2024,89,368,3436,368,3436,0.8111111111111111,0.17777777777777778,0.0,9.311653116531165
Jammu and Kashmir,Baramula,193123,35,15,1,254,1118,959,1449,51,1372,2408,1372,2408,0.6730769230769231,0.28846153846153844,0.019230769230769232,1.753823743627094
Jammu and Kashmir,Baramula,193198,18,1,0,11,56,441,995,19,67,1436,67,1436,0.9,0.05,0.0,21.11764705882353
Jammu and Kashmir,Baramula,193201,315,78,15,356,2327,3785,6322,408,2683,10107,2683,10107,0.7701711491442543,0.19070904645476772,0.03667481662591687,3.7656482861400895
Jammu and Kashmir,Baramula,193202,26,6,0,84,407,897,1580,32,491,2477,491,2477,0.7878787878787878,0.18181818181818182,0.0,5.034552845528455
Jammu and Kashmir,Baramula,193221,1,1,0,0,9,30,25,2,9,55,9,55,0.3333333333333333,0.3333333333333333,0.0,5.5
Jammu and Kashmir,Baramula,193301,39,14,1,48,183,1351,2379,54,231,3730,231,3730,0.7090909090909091,0.2545454545454545,0.01818181818181818,16.07758620689655
Jammu and Kashmir,Baramula,193303,29,4,0,9,77,781,998,33,86,1779,86,1779,0.8529411764705882,0.11764705882352941,0.0,20.448275862068964
Jammu and Kashmir,Baramula,193401,13,1,0,12,108,335,411,14,120,746,120,746,0.8666666666666667,0.06666666666666667,0.0,6.1652892561983474
Jammu and Kashmir,Baramula,193402,62,12,0,44,197,916,1490,74,241,2406,241,2406,0.8266666666666667,0.16,0.0,9.942148760330578
Jammu and Kashmir,Baramula,193403,13,6,0,18,99,171,288,19,117,459,117,459,0.65,0.3,0.0,3.889830508474576
